latitude;longitude;geometry;CÓDIGO OACI;TIPO;NOME;MUNICÍPIO ATENDIDO;UF
-8,348611;-49,303056;Point;SBAA;AERÓDROMO;CONCEIÇÃO DO ARAGUAIA;CONCEIÇÃO DO ARAGUAIA;PA
-22,157778;-49,068333;Point;SBAE;AERÓDROMO;BAURU/AREALVA;BAURU E AREALVA;SP
2,072778;-50,862500;Point;SBAM;AERÓDROMO;AMAPÁ;AMAPÁ;AP
-21,804444;-48,140278;Point;SBAQ;AERÓDROMO;BARTOLOMEU DE GUSMÃO;ARARAQUARA;SP
-10,985278;-37,073333;Point;SBAR;AERÓDROMO;SANTA MARIA;ARACAJU;SE
-9,866389;-56,105000;Point;SBAT;AERÓDROMO;PILOTO OSVALDO MARQUES DIAS;ALTA FLORESTA;MT
-21,144167;-50,426389;Point;SBAU;AERÓDROMO;ESTADUAL DARIO GUARITA;ARAÇATUBA;SP
-19,560556;-46,965556;Point;SBAX;AERÓDROMO;ROMEU ZEMA;ARAXÁ;MG
-1,384722;-48,478889;Point;SBBE;AERÓDROMO;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO;BELÉM;PA
-31,390833;-54,109722;Point;SBBG;AERÓDROMO;COMANDANTE GUSTAVO KRAEMER;BAGÉ;RS
-19,851944;-43,950556;Point;SBBH;AERÓDROMO;PAMPULHA - CARLOS DRUMMOND DE ANDRADE;BELO HORIZONTE;MG
-25,403333;-49,233611;Point;SBBI;AERÓDROMO;BACACHERI;CURITIBA;PR
-22,979167;-46,520833;Point;SBBP;AERÓDROMO;ESTADUAL ARTHUR SIQUEIRA;BRAGANÇA PAULISTA;SP
-21,267222;-43,760556;Point;SBBQ;AERÓDROMO;MAJOR BRIGADEIRO DO AR DOORGAL GOMES;BARBACENA;MG
-15,871111;-47,918611;Point;SBBR;AERÓDROMO;PRESIDENTE JUSCELINO KUBITSCHEK;BRASÍLIA;DF
-22,343611;-49,053889;Point;SBBU;AERÓDROMO;BAURU;BAURU;SP
2,841389;-60,692222;Point;SBBV;AERÓDROMO;ATLAS BRASIL CANTANHEDE;BOA VISTA;RR
-15,860833;-52,389444;Point;SBBW;AERÓDROMO;BARRA DO GARÇAS;BARRA DO GARÇAS;MT
-25,002222;-53,501944;Point;SBCA;AERÓDROMO;CORONEL ADALBERTO MENDES DA SILVA;CASCAVEL;PR
-22,920833;-42,071389;Point;SBCB;AERÓDROMO;CABO FRIO;CABO FRIO;RJ
-26,789722;-50,939722;Point;SBCD;AERÓDROMO;CARLOS ALBERTO DA COSTA NEVES;CAÇADOR;SC
-19,623889;-43,971389;Point;SBCF;AERÓDROMO;TANCREDO NEVES;CONFINS;MG
-20,469444;-54,670278;Point;SBCG;AERÓDROMO;CAMPO GRANDE;CAMPO GRANDE;MS
-27,133889;-52,661944;Point;SBCH;AERÓDROMO;SERAFIN ENOSS BERTASO;CHAPECÓ;SC
-7,320556;-47,458611;Point;SBCI;AERÓDROMO;BRIGADEIRO LYSIAS AUGUSTO RODRIGUES;CAROLINA;MA
-6,115278;-50,001389;Point;SBCJ;AERÓDROMO;CARAJÁS;PARAUAPEBAS;PA
-28,724444;-49,421389;Point;SBCM;AERÓDROMO;FORQUILHINHA/CRICIÚMA;FORQUILHINHA;SC
-17,724722;-48,610000;Point;SBCN;AERÓDROMO;NELSON RODRIGUES GUIMARÃES;CALDAS NOVAS;GO
-21,701111;-41,307778;Point;SBCP;AERÓDROMO;BARTOLOMEU LISANDRO;CAMPOS DOS GOYTACAZES;RJ
-19,011944;-57,671389;Point;SBCR;AERÓDROMO;CORUMBÁ;CORUMBÁ;MS
-25,531667;-49,176111;Point;SBCT;AERÓDROMO;AFONSO PENA;CURITIBA;PR
-17,650556;-39,254444;Point;SBCV;AERÓDROMO;CARAVELAS;CARAVELAS;BA
-29,195556;-51,189722;Point;SBCX;AERÓDROMO;REGIONAL HUGO CANTERGIANI;CAXIAS DO SUL;RS
-15,650000;-56,117500;Point;SBCY;AERÓDROMO;MARECHAL RONDON;VÁRZEA GRANDE;MT
